36.5827 	EXP 	grating: autoDraw = False
38.9375 	DATA 	Keypress: right
38.9479 	EXP 	fixation: autoDraw = False
38.9479 	EXP 	grating: autoDraw = False
38.9479 	EXP 	grating: ori = 10.0
38.9479 	EXP 	fixation: autoDraw = True
39.4482 	EXP 	fixation: autoDraw = False
39.4482 	EXP 	grating: autoDraw = True
39.7481 	EXP 	grating: autoDraw = False
40.4036 	DATA 	Keypress: left
40.4144 	EXP 	fixation: autoDraw = False
40.4144 	EXP 	grating: autoDraw = False
40.4144 	EXP 	grating: ori = 10.0
40.4144 	EXP 	fixation: autoDraw = True
40.9139 	EXP 	fixation: autoDraw = False
40.9139 	EXP 	grating: autoDraw = True
41.2140 	EXP 	grating: autoDraw = False
41.5199 	DATA 	Keypress: left
41.5306 	EXP 	fixation: autoDraw = False
41.5306 	EXP 	grating: autoDraw = False
41.5306 	EXP 	grating: ori = 10.0
41.5306 	EXP 	fixation: autoDraw = True
42.0307 	EXP 	fixation: autoDraw = False
42.0307 	EXP 	grating: autoDraw = True
42.3316 	EXP 	grating: autoDraw = False
42.6196 	DATA 	Keypress: left
42.6305 	EXP 	fixation: autoDraw = False
42.6305 	EXP 	grating: autoDraw = False
42.6305 	EXP 	grating: ori = 10.0
42.6305 	EXP 	fixation: autoDraw = True
43.1306 	EXP 	fixation: autoDraw = False
43.1306 	EXP 	grating: autoDraw = True
43.4306 	EXP 	grating: autoDraw = False
43.6194 	DATA 	Keypress: left
43.6307 	EXP 	fixation: autoDraw = False
43.6307 	EXP 	grating: autoDraw = False
43.6307 	EXP 	grating: ori = 10.0
43.6307 	EXP 	fixation: autoDraw = True
44.1305 	EXP 	fixation: autoDraw = False
44.1305 	EXP 	grating: autoDraw = True
44.4313 	EXP 	grating: autoDraw = False
44.9027 	DATA 	Keypress: left
44.9137 	EXP 	fixation: autoDraw = False
44.9137 	EXP 	grating: autoDraw = False
44.9137 	EXP 	grating: ori = 10.0
44.9137 	EXP 	fixation: autoDraw = True
45.4134 	EXP 	fixation: autoDraw = False
45.4134 	EXP 	grating: autoDraw = True
45.7135 	EXP 	grating: autoDraw = False
45.8030 	DATA 	Keypress: right
